Quote from report,File name,Quote from source,
"Since the invention of plastic polymers at the end of the 19th century and the widespread use of plastic from the 1950s, humanity has become largely dependent on them. ","NPO Kennis, 2022","Men gebruikt het in een breed scala aan producten. Van radio’s en telefoons tot keukengerei, juwelen en speelgoed. Bakeliet is een daverend succes dat binnen korte tijd overal opduikt. Al snel staat het nieuwe materiaal symbool voor het moderne leven.

Ook de oorlog helpt mee aan de opkomst van plastic. Het materiaal is goedkoop, makkelijk te maken en breed toepasbaar, zoals militaire auto’s, radars en geweren. In 1993 roept de American Chemical Society bakeliet uit tot historische chemische mijlpaal door de significantie van de stof voor de chemie. 

Plastic was vroeger zo populair dat er zelfs een heel huis van gebouwd werd. 
In de jaren na de bakeliet-boom vinden scheikundigen en uitvinders nieuwe soorten plastic met andere eigenschappen uit. Men ontdekt dat kleine veranderingen aan het polymeer invloed hebben op de hardheid van het plastic en hoe lang het meegaat. Hard plastic blijkt een goede vervanging voor glas. Handig voor drinkbekers en etensbakjes die tegen een stootje moeten kunnen. Glas breekt als het valt, maar plastic stuitert vrolijk omhoog.

Het nieuwe materiaal lijkt oneindig mee te gaan. Jaren later blijkt dat ook een groot nadeel te hebben: in de jaren negentig wordt het steeds duidelijker dat plastic ook een enorm milieuprobleem veroorzaakt. Plastic afval duikt overal op en wordt niet of nauwelijks afgebroken door de natuur. Het ooit zo revolutionaire plastic verandert in een symbool voor vervuiling.",
"Between 2000 and 2019, the amount of plastic produced doubled from 213 million tonnes in 2000 to 460 million tonnes of plastic in 2019 ","Brooks et al., 2018","The historic growth in production has outpaced almost all other manufactured materials from 2 million metric tons (MT) produced in 1950 to 322 million MT produced in 2015 (1, 2). A cumulative total of 8.3 billion MT of plastic has been produced as of 2017 (1). ",
"Between 2000 and 2019, the amount of plastic produced doubled from 213 million tonnes in 2000 to 460 million tonnes of plastic in 2019 ",Ritchie et al 2023,"However, rapid growth in global plastic production didn’t happen until the 1950s. Over the next 70 years, however, annual production of plastics has increased nearly 230-fold to 460 million tonnes in 2019. Even just in the last two decades, global plastic production has doubled.",
"Between 2000 and 2019, the amount of plastic produced doubled from 213 million tonnes in 2000 to 460 million tonnes of plastic in 2019 ",Ritchie et al 2023,Graph ,
"According to OECD (2024), the expectation is that the production of plastic will increase to 736 million tonnes of plastic by 2040, a 70% increase compared to 2019 (See Figure 1).",OECD 2024,Graph ,
"According to OECD (2024), the expectation is that the production of plastic will increase to 736 million tonnes of plastic by 2040, a 70% increase compared to 2019 (See Figure 1).",OECD 2024,"Plastics production doubled between 2000 and 2019, from 234 to 460 million tonnes (Mt). Without more ambitious policies, the amount of plastics produced around the world will continue to rise. Global production and use of plastics is set to reach 736 million tonnes by 2040, up 70% from 435 Mt in 2020. It will continue to outpace global population growth as demand for plastics is projected to remain high and further increase in OECD countries. Fast growth is similarly expected in emerging economies in Asia, Sub-Saharan Africa and Latin America.  ",
"The biggest producers of plastic are mostly developing countries in Asia; meanwhile, the biggest consumers of plastic are in Europe and North America ","Cleanhub, 2014","The list of countries with highest export + ""The top 10 countries are all high-income, developed nations, and seven of them are in Europe. Together, they export more than 4.4 million tonnes of plastic waste per year.....""There are also plenty of countries – including India, China, the Philippines, and Brazil – who mismanage millions of tonnes of plastic waste every year.

Just because they’re not among the top exporters, doesn’t mean they’re dealing with plastic waste properly
These offenders are responsible for 71% of all plastic waste exports across the globe. 
This is slightly less than the same statistic for the period from 1988 to 2016, when the top 10 accounted for 78% of plastic waste exports – but just barely.                                                                                                                                       There are also plenty of countries – including India, China, the Philippines, and Brazil – who mismanage millions of tonnes of plastic waste every year.
Just because they’re not among the top exporters, doesn’t mean they’re dealing with plastic waste properly",
"The biggest producers of plastic are mostly developing countries in Asia; meanwhile, the biggest consumers of plastic are in Europe and North America ","Ritchie et al., 2023",checking the data base and making a graph about exporting and importing countries,
"According to CleanHub (2014), the ten biggest exporters of plastic waste have a share of 71% of all plastic waste traded. ","Cleanhub, 2014",These offenders are responsible for 71% of all plastic waste exports across the globe.,
The imported plastic waste is mismanaged and often ends up in landfills or is incinerated,"Cleanhub, 2014","There are also plenty of countries – including India, China, the Philippines, and Brazil – who mismanage millions of tonnes of plastic waste every year. Just because they’re not among the top exporters, doesn’t mean they’re dealing with plastic waste properly",
The imported plastic waste is mismanaged and often ends up in landfills or is incinerated,"EIA, 2021","page 4: Almost all countries that
receive or have received large quantities of imported
plastic waste are those that also have some of the
highest mismanagement rates in the world.",
"A study by Jambeck et al. (2015) showed that the countries that are the biggest importers of plastic waste have the highest mismanagement rates, up to almost 90%. ",Jambeck et al. 2015,Table 1,
"Many countries have therefore tried to limit the export and import of low-quality plastic waste and stimulate the recycling of plastic (Birkbeck, 2020)","Birkbeck, 2020","In practice, however, countries have been exporting their waste irrespective of whether importing countries have capacity to properly manage that waste. In the past several years, it has become clear that most recipient countries lack the capacity to recycle, incinerate or otherwise manage the scale of plastic waste they generate or import in an environmentally sound manner, resulting in extensive leakage of plastic waste into the environment. This has spurred action, both nationally and internationally, to curb trade in certain plastic wastes, focused on those that are the hardest for recipient countries to safely recycle or incinerate.",
"The biggest producers of plastic are mostly developing countries in Asia; meanwhile, the biggest consumers of plastic are in Europe and North America ","Birkbeck, 2020","The production and consumption of plastics are globally distributed (see Figure 6) as is their disposal. Overall, China, North America and Europe are responsible for the greatest share of plastic production for both domestic use and export around the world.",
"As explained in the introduction, the concept of ‘business models’ is broad, and one common definition is lacking ","Alonso et al. (2007), ","The importance of raw material availability is obvious to upstream firms that extract, refine, and process material into products. However, as this paper will demonstrate, materials availability is critical to all firms. If raw materials become difficult to acquire, market forces may shift demand to other goods and therefore other supply chains. Regardless of one's specific business, such shifts can lead to irreparable economic harm. Unfortunately, post facto responses are limited by the far-reaching effects of materials. Materials establish ap propriate production technologies and the possible config uration of the supply chain. The extent of these effects means that solely reactive response will be limited and may be ineffective.",
"As explained in the introduction, the concept of ‘business models’ is broad, and one common definition is lacking ","Khodaei & Roland, 2019","The second is a transformational or dynamic approach, where the BM is considered as a concept or a tool to address change and focus on innovation, either in the organization or in the BM itself [10]. This is in line with several studies that frame the business model as an evolving bundle of activities, a “complex set of interdependent routines that is discovered, adjusted, and fine-tuned by ‘doing’” [11]. Today, success is not dependent on product innovation alone, but also on business model innovation, and open innovation [12] is the starting point of new business model development [13].",
"As explained in the introduction, the concept of ‘business models’ is broad, and one common definition is lacking ","Nielsen & Lund, 2014","ing business models can to some extent be traced to the fact that new value configurations outcompete existing ways of doing business. There exist cases where some businesses are more profitable than others in the same industry, even though they apply the same strategy. This illustrates that a business model is different from a competitive strategy and a value chain. A value chain is a set of serially performed activities for a firm in a specific industry. The difference thus lies in the way activities are
performed (strategic and tactical choices), and therefore a business model is closely connected to a
management control agenda. The business model
perspective has also been found useful for aligning
financial and non-financial performance measures
with strategy and goals. In addition, communicative
aspects from executive management to the rest of the
organization, and also to external stakeholders such as
bankers, investors, and analysts, are also facilitated by
a business model perspective.",
"As explained in the introduction, the concept of ‘business models’ is broad, and one common definition is lacking ","Teece, 2010",The concept of a business model lacks theoretical grounding in economics or in business studies. ,
"These four components are based on the generally acknowledged components of ‘business models’ in literature, both directly used or indirectly deduced from the components on this specific topic","Cali, 2023","The Business Model Canvas consists of nine essential parts: Customer Segments, Value Proposition, Revenue Streams, Channels, Customer Relationships, Key Activities, Key Resources, Key Partners, and Cost Structure",
"These four components are based on the generally acknowledged components of ‘business models’ in literature, both directly used or indirectly deduced from the components on this specific topic","Khodaei & Roland, 2019","The literature has been moving from conceptualizing, characterizing, and explaining a BM at a given point in time, towards a more dynamic view with various definitions being associated with business model dynamics (BMD) or change, such as business model “learning”, “evolution”, “innovation”, or “renewal”, “replication”, and “erosion”",
"These four components are based on the generally acknowledged components of ‘business models’ in literature, both directly used or indirectly deduced from the components on this specific topic","Nielsen & Lund, 2014",Figure 1,
"In two review articles on researching business models, Snihur & Markman (2023) and Gilsing et al. (2022) highlight that there are multiple methods to investigate components of business models. These include collecting longitudinal data to determine KPI’s (Key Performance Indicators) and interviews with decision-makers of the companies. ",Snihur & Markman (2023) ,Table 1,
"In two review articles on researching business models, Snihur & Markman (2023) and Gilsing et al. (2022) highlight that there are multiple methods to investigate components of business models. These include collecting longitudinal data to determine KPI’s (Key Performance Indicators) and interviews with decision-makers of the companies. ",Gilsing et al. (2022) ,Multi-criteria analysis is used for business model evaluation to compare key performance indicators (KPIs) or performance criteria associated with a business model design,
"A potential limitation of this study is the conduct of interviews, as they may be subject to bias, according to Coughlan et al. (2009) and Bergelson et al. (2022). ",Coughlan et al 2009,can not access anymore ;(,
"A potential limitation of this study is the conduct of interviews, as they may be subject to bias, according to Coughlan et al. (2009) and Bergelson et al. (2022). ",Bergelson et al 2022,"Additionally, due to a lack of a specific scoring rubric, unstructured interviews are open to multiple biases in answer interpretation and as such generally show limited validity [4]. For the applicant, unstructured interviews allow more freedom to choose a response, with some studies reporting higher interviewee satisfaction with these questions [5]. In contrast to the unstructured interview, structured interviews use standardized questions that are written prior to an interview, are asked of every candidate, and are scored using an established rubric. Standardized questions may be behaviorally or situationally anchored [5]. Due to their uniformity, standardized interviews have higher interrater reliability and are less prone to biased or illegal questions",
"This study will be a prospective cohort study, which consists of three measurement moments: (1) prior to the enforcement, (2) within half a year after the enforcement and (3) in the last quarter of 2028. We will follow two groups of companies over time, collect data, and track the outcome. By doing so, we will investigate the influence of exposure and outcome (George, 2023; Wang & Kattan, 2020). ","George, 2023","In prospective cohort studies, data is collected over time to compare the occurrence of the outcome of interest in those who were exposed to the risk factor and those who were not. This can help ascertain whether the risk factor could be associated with the outcome.",
"This study will be a prospective cohort study, which consists of three measurement moments: (1) prior to the enforcement, (2) within half a year after the enforcement and (3) in the last quarter of 2028. We will follow two groups of companies over time, collect data, and track the outcome. By doing so, we will investigate the influence of exposure and outcome (George, 2023; Wang & Kattan, 2020). ","Wang & Katten, 2020","The distinguishing feature of a prospective cohort study is that at the time that the investigators begin enrolling subjects, none of the subjects has developed the outcome of interest. In contrast, a retrospective study is conceived after subjects have already developed the outcome. The investigators jump back in time to identify a cohort of subjects at a point in time when they did not have the outcome. A prospective cohort study design is ranked higher in the hierarchy of evidence than a retrospective design because the outcome, predictor, and confounding variables can be better measured and controlled",
"owever, we must be aware that our design affects the quality of our research. A proper design is needed to mitigate potential dropout, effects caused by maturation, and 21 executable within time","George, 2023",Section on advantages and disadvantages of prospective cohort studies,
"owever, we must be aware that our design affects the quality of our research. A proper design is needed to mitigate potential dropout, effects caused by maturation, and 21 executable within time","Wang & Katten, 2020",Table 1,
